karishma, rajput, 1020233,6,karrajput3948@gmail.com,78,89,34,67,67
vasu, n, 1020220,6,kishu1746@gmail.com,78,89,34,67,67
Pratik, Shinde, 1020246,6,karishmarajput1746@gmail.com,78,89,34,67,67
Pratik, Shrivastav, 1020247,6,njsingh3948@gmail.com,78,89,34,67,67
Aditya, Yempalle, 1020264,6,navjot_@outlook.com,78,89,34,67,67
Aaryan, Rastogi, 1020235,6,karishma_rajput@outlook.com,78,89,34,67,67
Juhi, Ramod, 1020234,6,dimplerajput1746@gmail.com,78,89,34,67,67
Vinayak, Patkar, 1020226,6,ajitsingh39488@gmail.com,78,89,34,67,67
Agrima, Kumar, 1020201,6,karrajput3948@gmail.com,78,89,34,67,67
Lava, K, 1020202,6,karrajput3948@gmail.com,78,89,34,67,67
